SIRUTA,DENLOC,CODP,JUD,SIRSUP,TIP,NIV,MED,REGIUNE,FSJ,FSL,FS2,FS3,POND,rang,fictiv
1507,CERTEGE                          ,515504,1,1455,18,3,1,7,1,1.30049E+11,130048,2002526,1.71933E+13,V  ,
1516,COASTA VÂSCULUI                  ,515505,1,1455,18,3,1,7,1,1.30049E+11,130048,2002996,1.73013E+29,V  ,
1525,DĂNDUŢ                           ,515506,1,1455,18,3,1,7,1,1.30049E+11,130048,2003837,1.81829E+11,V  ,
1534,DEALU BISTRII                    ,515507,1,1455,18,3,1,7,1,1.30049E+11,130048,2003911,1.81913E+25,V  ,
1543,DEALU CAPSEI                     ,515508,1,1455,18,3,1,7,1,1.30049E+11,130048,2003914,1.81913E+23,V  ,
1552,DRIC                             ,515509,1,1455,18,3,1,7,1,1.30049E+11,130048,2004338,18332317,V  ,
1561,FAŢA ABRUDULUI                   ,515510,1,1455,18,3,1,7,1,1.30049E+11,130048,2004535,2.01313E+27,V  ,
1570,FLOREŞTI                         ,515511,1,1455,18,3,1,7,1,1.30049E+11,130048,2004796,2.0273E+15,V  ,
1589,FURDUIEŞTI                       ,515512,1,1455,18,3,1,7,1,1.30049E+11,130048,2004944,2.03833E+19,V  ,
1598,MIHOEŞTI                         ,515513,1,1455,18,3,1,7,1,1.30049E+11,130048,2007489,2.82322E+15,V  ,
1605,MOTORĂŞTI                        ,515514,1,1455,18,3,1,7,1,1.30049E+11,130048,2007738,2.83036E+17,V  ,
1614,PESTE VALEA BISTRII              ,515515,1,1455,18,3,1,7,1,1.30049E+11,130048,2008722,3.11934E+37,V  ,
1623,PODURI                           ,515516,1,1455,18,3,1,7,1,1.30049E+11,130048,2009131,3.13018E+11,V  ,
1632,SORLIŢA                          ,515517,1,1455,18,3,1,7,1,1.30049E+11,130048,2011125,3.43033E+13,V  ,
1641,TOMUŞEŞTI                        ,515518,1,1455,18,3,1,7,1,1.30049E+11,130048,2012124,3.63028E+17,V  ,
1650,VALEA BISTRII                    ,515519,1,1455,18,3,1,7,1,1.30049E+11,130048,2012671,3.91327E+25,V  ,
1669,VALEA CASELOR                    ,515520,1,1455,18,3,1,7,1,1.30049E+11,130048,2012694,3.91327E+25,V  ,
1678,VÂRŞI                            ,515521,1,1455,18,3,1,7,1,1.30049E+11,130048,2013252,3915333323,V  ,
